episode,deltaT,maxRadius,avgRadius,numUnknownSlots,propUnknown,numSamples,totalNumSamples
1,49.0,2.0,1.3793519794615365,16,1.0,51,51
11,12.930778779096682,0.4979465359931539,0.3482237101440613,16,1.0,120,1077
21,8.865697830222391,0.3473703947002486,0.24472552962175997,16,1.0,135,2369
31,7.103729379323523,0.2845126784988162,0.19833497455022833,16,1.0,144,3773
41,6.072284739433107,0.2433429932038508,0.17005073530963372,16,1.0,151,5252
51,5.3391348207750955,0.21649991804956575,0.1518487086854654,16,1.0,155,6786
61,4.801668140911617,0.1942492143615098,0.13743983716649746,16,1.0,159,8362
71,4.37267009264641,0.1771814470088211,0.12652497626292797,16,1.0,163,9974
81,4.074013776135927,0.16507866555800058,0.11786606964967228,16,1.0,165,11615
91,3.822860223877257,0.15564423723908663,0.11087156086608055,16,1.0,168,13283
101,3.6371227835130697,0.14725048708045535,0.10493223847067658,16,1.0,170,14974
111,3.4503353271702766,0.13996134841571242,0.09985076768868535,16,1.0,172,16687
121,3.3067484496374226,0.1345875449326648,0.09549464442689924,16,1.0,174,18418
131,3.1582494427577945,0.12803944068174522,0.09148200703843526,16,1.0,176,20166
141,3.0323092661048476,0.12330713167969881,0.08805558096314954,16,1.0,177,21931
151,2.927341314214897,0.11897999208088932,0.08495789327826644,16,1.0,179,23710
161,2.8395134889717513,0.1156621655690402,0.0822468888020151,16,1.0,180,25503
171,2.7538916296402074,0.11213879280584424,0.07967315882900068,16,1.0,181,27309
181,2.6563077933672394,0.10803859425084378,0.07718457037587112,16,1.0,182,29126
191,2.5816624795202867,0.10504502115905533,0.07507882403138044,16,1.0,183,30955
201,2.5172159914240404,0.10254379208859986,0.07313843593592245,16,1.0,184,32794
211,2.466298454037711,0.10045128958743642,0.07141234825396815,16,1.0,185,34644
221,2.4139715246773976,0.09835437502710784,0.06975605348025694,16,1.0,186,36504
231,2.35412381710934,0.09588650461609342,0.06814069136857463,16,1.0,187,38373
241,2.3082566413905057,0.09395431574068354,0.06666806051860243,16,1.0,188,40251
251,2.2604128950212625,0.09201133346509682,0.06527147978816836,16,1.0,189,42137
261,2.209797656946098,0.09010104021596027,0.06394174073032359,16,1.0,190,44031
271,2.1732451464183487,0.0885840279487784,0.06274063622829251,16,1.0,191,45932
281,2.1242755457606597,0.0865824217407048,0.06150198338352659,16,1.0,191,47842
291,2.0871144695532236,0.08505647160818881,0.06036625356621073,16,1.0,192,49759
301,2.0526623837020384,0.08358217083764842,0.05932413668894312,16,1.0,193,51682
311,2.017372334228771,0.08219956815810125,0.0583110003462255,16,1.0,193,53612
321,1.9840336961986096,0.08081915715070885,0.057346469938341964,16,1.0,194,55550
331,1.9473484791906137,0.07938177339845473,0.05641603924142816,16,1.0,195,57492
341,1.9197460898186527,0.07819086803491584,0.05554919392075388,16,1.0,195,59442
351,1.8914338849993544,0.07707754993485726,0.05472682133940743,16,1.0,196,61397
361,1.866396385066978,0.07606808979134266,0.053965902066747194,16,1.0,196,63357
371,1.8391432915819248,0.07493953468083887,0.053187881294303255,16,1.0,197,65324
381,1.8124380817776449,0.07387888517159445,0.052443737094858056,16,1.0,197,67294
391,1.7844561585060932,0.07272214822005932,0.05171386641347961,16,1.0,198,69272
401,1.7615001133033334,0.07182982594649341,0.0510702253712869,16,1.0,198,71252
411,1.7385715497257848,0.07088780989329141,0.05041284880589724,16,1.0,199,73241
421,1.7169059518985077,0.06997216398404732,0.04978308885713699,16,1.0,199,75231
431,1.6925026032847001,0.06901345099468194,0.04915893639076832,16,1.0,200,77229
441,1.6716008172799215,0.06811314812912414,0.04855752973031204,16,1.0,200,79229
451,1.650745041911174,0.06731673247171827,0.04799482109792681,16,1.0,201,81235
461,1.6355984361425875,0.06667574380581544,0.04747420342411238,16,1.0,201,83245
471,1.6199446646769173,0.06603691752306208,0.046970962628144285,16,1.0,202,85258
481,1.6022067707365997,0.0653111612593337,0.04644685688174968,16,1.0,202,87278
491,1.5834855886902885,0.06456558916790123,0.04595365991266611,16,1.0,202,89298
501,1.5669055490068846,0.06384824719439737,0.04546339875929986,16,1.0,203,91327
511,1.5509097073040063,0.0632380853026246,0.045010634209984635,16,1.0,203,93357
521,1.534823754619734,0.06258559239131976,0.04456266799394749,16,1.0,204,95391
531,1.5208764077719898,0.062018014422748326,0.044129551634834285,16,1.0,204,97431
541,1.5046254841520643,0.061334044955861575,0.04369141530271976,16,1.0,204,99471
551,1.4913788225843194,0.06080469097904532,0.043291213439197174,16,1.0,205,101518
561,1.4768286228046348,0.06019155045787107,0.042886469649021375,16,1.0,205,103568
571,1.4619103082026552,0.05961117863817306,0.04248592928949871,16,1.0,205,105618
581,1.4493455500536627,0.059133443259865304,0.042113520099273355,16,1.0,206,107677
591,1.4372339672925023,0.05860213224688532,0.04174570408611123,16,1.0,206,109737
601,1.4239126431533367,0.05807917477332154,0.04138776904318182,16,1.0,206,111797
611,1.4116911470995572,0.0575813972964227,0.04102626178571948,16,1.0,207,113866
621,1.4010130372687086,0.057155515996155516,0.04069612127043592,16,1.0,207,115936
631,1.3890680068829462,0.05666138129912819,0.04036374063535987,16,1.0,207,118006
641,1.3767703844313286,0.05613900208012264,0.04002622452436299,16,1.0,208,120084
651,1.3663796411755031,0.05571898306253004,0.039711206609324735,16,1.0,208,122164
661,1.3569337707667366,0.05533182169283811,0.03940962594634868,16,1.0,208,124244
671,1.3445870031370362,0.05482672681453868,0.03908860038168994,16,1.0,209,126329
681,1.3348702263371977,0.05443393477138996,0.03879280865762542,16,1.0,209,128419
691,1.3240659488272428,0.0540068411450183,0.038494937801391675,16,1.0,209,130509
701,1.3139852286554536,0.05359378504665425,0.03820275769114096,16,1.0,209,132599
711,1.3047628416541004,0.05320614014397552,0.03792349579094714,16,1.0,210,134699
721,1.295653573539625,0.05285428359594386,0.03765829480339938,16,1.0,210,136799
731,1.2862025588665167,0.052465737471425966,0.03738744950444066,16,1.0,210,138899
741,1.276909098601381,0.05208375691017612,0.03712365269454891,16,1.0,211,141002
751,1.266310344362794,0.051676235089604214,0.036858483051594296,16,1.0,211,143112
761,1.2578000041957167,0.051306483768967404,0.03660173302400409,16,1.0,211,145222
771,1.2498027229732247,0.05097332640339577,0.03635848644331394,16,1.0,211,147332
781,1.2416077477976653,0.05064376286540018,0.036115599347822096,16,1.0,212,149447
791,1.23390194976895,0.05033293697716412,0.035886629116719804,16,1.0,212,151567
801,1.2249568207246517,0.049975445395332045,0.035644327857378255,16,1.0,212,153687
811,1.2184036788104207,0.04970640276753683,0.03542492746940477,16,1.0,212,155807
821,1.2113253204194432,0.04942749411898646,0.03520878064368877,16,1.0,213,157931
831,1.2042821676627777,0.0491158759415169,0.034987021216115424,16,1.0,213,160061
841,1.1967555493270008,0.04882137519334725,0.03477578113326211,16,1.0,213,162191
851,1.19008396523235,0.04854228039465465,0.034569815064264,16,1.0,213,164321
861,1.1819169881503735,0.0482043226381296,0.03435712886994464,16,1.0,214,166452
