case study,p_reach,p_T,eps,confidence,effective horizon,Execution time (ms),episodes,deltaT,nMin,Robust foundNE,Robust value,Robust true value,Robust estimation error,Robust value gap,Robust dev gain,Point foundNE,Point value,Point true value,Point estimation error,Point value gap,Point dev gain,True found,True coalition results,True SW value
safe_risky1,1.0000000000287557e-06,1.0,0.1,0.05,4,2629848.942459,729213,0.02499999022207616,8663565,TRUE,0.998238963729,1.0,,0.0017610362709999938,0.0,TRUE,1.0,1.0,,0.0,0.0,TRUE,"(0.6,0.4)",1.0
safe_risky2,1.0000000000287557e-06,,0.1,0.05,,889006.625583,350850,0.02499998411647848,2584440,TRUE,0.997414970358,,,,,TRUE,1.0,,,,,TRUE,"(0.5,0.5)",1.0
safe_risky3,1.0000000000287557e-06,1.0,0.1,0.05,4,2583136.894125,729213,0.02499999022207616,8663565,TRUE,inf,inf,,nan,0.0,TRUE,inf,inf,,nan,0.0,TRUE,,inf
traffic_merge1,3.999994000119023e-06,1.0,0.1,0.05,6,8969063.774791,754414,0.024999998677565378,49433708,FALSE,nan,0.0,,-2.0,0.0,TRUE,2.0,0.0,,-2.0,0.0,TRUE,"(1.0,1.0)",2.0
traffic_merge2,3.999994000119023e-06,1.0,0.1,0.05,6,8883412.921708,754413,0.024999998677565378,49433708,FALSE,nan,0.0,-2.0,2.0,,TRUE,2.0,0.0,-2.0,2.0,,TRUE,"(1.0,1.0)",2.0
mixed_ne,1.0,1.0,0.2,0.05,4,350687.601542,1190816,0.04999998748401741,2016622,TRUE,0.996764787169,1.0,0.003235212831000034,0.0,,TRUE,1.0,1.0,0.0,0.0,,TRUE,"(0.5,0.5)",1.0
no_ne,1.0,1.0,0.1,0.05,4,5709649.83775,8683224,0.024999998693450445,8663565,FALSE,nan,,,,,FALSE,nan,,,,,FALSE,,nan
