episode,deltaT,maxRadius,avgRadius,numUnknownSlots,coverage,numSamples
1,9.0,2.0,1.6855755594169752,16,1.0,51
11,4.247554842952961,0.892639921873541,0.5263083699609855,16,1.0,120
21,2.6307084691940084,0.5685708190581379,0.35896295074085427,16,1.0,135
31,2.080719740508747,0.45684480346508727,0.2906644012228582,16,1.0,144
41,1.7964891299457495,0.39573941442601346,0.24922516801070854,16,1.0,151
51,1.6012750388881412,0.3529432628741472,0.22253577617766881,16,1.0,155
61,1.462459375411408,0.31998969620320444,0.2018003663489153,16,1.0,159
71,1.3419056612884712,0.29545770159724255,0.1866782144125072,16,1.0,163
81,1.2481894536794493,0.27627670187748676,0.17422089069023422,16,1.0,165
91,1.185841324865962,0.26184633865655127,0.1641235430937127,16,1.0,168
101,1.1153176052019993,0.24631724056638282,0.15502840055303135,16,1.0,170
111,1.0655054919232256,0.23598084216726697,0.14788829205796006,16,1.0,172
121,1.0231907062773977,0.22644106701025477,0.14142057055080792,16,1.0,174
131,0.9747029328637107,0.21599846914808402,0.13559485501187352,16,1.0,176
141,0.9328266526333612,0.20677070817040363,0.13037034959267166,16,1.0,177
151,0.9042789136468574,0.2004758237750521,0.12586338072274225,16,1.0,179
161,0.8712459590746808,0.1929778255782929,0.12167319684984085,16,1.0,180
171,0.8431856240129778,0.1866154190590198,0.11770626775583018,16,1.0,181
181,0.8178018001487043,0.18098726050636385,0.1141939098889553,16,1.0,182
191,0.7965975094436013,0.17686234580656307,0.11105972443486116,16,1.0,183
201,0.7765994962456821,0.1723328633113968,0.108179403595179,16,1.0,184
211,0.7579043036177275,0.16815130359898894,0.10539585817086275,16,1.0,185
221,0.7405629390623871,0.16427483747246577,0.10289929461897858,16,1.0,186
231,0.7233571419929646,0.1603945021379808,0.10058872078288988,16,1.0,187
241,0.7073554469940573,0.15686252845266818,0.09842063882212293,16,1.0,188
251,0.6908915463203983,0.15326103870774968,0.09629218935047386,16,1.0,189
261,0.6765783878889633,0.15009762399038948,0.09434464856797208,16,1.0,190
271,0.6626271918620491,0.14683648721770276,0.09255723281276654,16,1.0,191
281,0.6505530256701142,0.1443157966735948,0.09086172803752922,16,1.0,191
291,0.6360705939876777,0.14098508306070165,0.08921161239521787,16,1.0,192
301,0.6244349038030846,0.1385422647080316,0.0877022469886678,16,1.0,193
311,0.6149183150061908,0.13639125726256282,0.08624443048998814,16,1.0,193
321,0.6046404999025364,0.13418700162334596,0.08484116673530792,16,1.0,194
331,0.5953623180703294,0.13200725401511365,0.08346122029996801,16,1.0,195
341,0.5856124132414934,0.1299355348874732,0.08217818903147615,16,1.0,195
351,0.5777311411654742,0.12825008233150226,0.08101731361848749,16,1.0,196
361,0.5698429802914182,0.12650286866748028,0.07983491162298563,16,1.0,196
371,0.5615703419459971,0.12460014456422773,0.07872578899243063,16,1.0,197
381,0.553892782148494,0.1228183947077724,0.0776472194774692,16,1.0,197
391,0.5468282576191374,0.12133966443254714,0.07664956376817891,16,1.0,198
401,0.5403209204220324,0.11985362448016688,0.07569549092538784,16,1.0,198
411,0.5326373917794931,0.1182299593265791,0.0747260492028307,16,1.0,199
421,0.5254810347436965,0.11667372179439688,0.07379530863235047,16,1.0,199
431,0.5203550708855866,0.11555146950775579,0.07295180612788063,16,1.0,200
441,0.5137594080345401,0.11403598757679156,0.07206771415651272,16,1.0,200
451,0.5081126010244136,0.11278568409230448,0.0712441406040655,16,1.0,201
461,0.5013771268212825,0.11129418985567868,0.07040726406679897,16,1.0,201
471,0.49678859653215146,0.11026610393076955,0.06963111459624544,16,1.0,202
481,0.4909752100391646,0.10895605497539515,0.0688678759529779,16,1.0,202
491,0.48582200566089023,0.1077824874926707,0.0681444781956383,16,1.0,202
501,0.48054437578619424,0.10666933287375235,0.06744328119634828,16,1.0,203
511,0.4766198917184994,0.10586307748472376,0.0667819305100312,16,1.0,203
521,0.4725185787763374,0.10489193230682806,0.06610988103724362,16,1.0,204
531,0.4680795243726894,0.10390876060370981,0.06547626635505327,16,1.0,204
541,0.46368263152243244,0.10295405846857536,0.06484279832987104,16,1.0,204
551,0.45949749704643034,0.10198915976972274,0.0642284104771988,16,1.0,205
561,0.45547007279533114,0.10108842871659293,0.0636422307136164,16,1.0,205
571,0.4509553318960228,0.1001154404855777,0.06307265982691357,16,1.0,205
581,0.44657864809398695,0.09914577190493942,0.0624945092280628,16,1.0,206
591,0.4425572814679617,0.09822164034290136,0.061932425072128656,16,1.0,206
601,0.43846609263358943,0.09734020006349296,0.061414922022195804,16,1.0,206
611,0.43413921244726156,0.09640505000889923,0.06087772577704483,16,1.0,207
621,0.43117882346364045,0.09576396671097515,0.06037632519319436,16,1.0,207
631,0.4275074891506987,0.09498676148289939,0.059886586677339496,16,1.0,207
641,0.42419440512267076,0.09419278327808628,0.059412048759911656,16,1.0,208
651,0.4205143228893465,0.09334872857001127,0.05892039459645586,16,1.0,208
661,0.41693293849457763,0.0925554905333528,0.05843767303772873,16,1.0,208
671,0.4145066812930995,0.09203830249039084,0.05800493635634253,16,1.0,209
681,0.4111715205442948,0.0912990199742427,0.057569257237295966,16,1.0,209
691,0.40783263978829437,0.09057811655976394,0.057138098253642765,16,1.0,209
701,0.4051427938787797,0.08992494857423804,0.05671642849518001,16,1.0,209
711,0.40203724996764195,0.08923738010499406,0.056288283922759565,16,1.0,210
721,0.3990324230132989,0.08860795828447718,0.05588280904481227,16,1.0,210
731,0.39636120992721,0.08798059462140974,0.05548757931703038,16,1.0,210
741,0.39333198811946013,0.08734411133882984,0.05509428737977452,16,1.0,211
751,0.3905509484275457,0.08675547881017068,0.054706354073145294,16,1.0,211
761,0.3885487353916896,0.08624503815594003,0.05434480034516158,16,1.0,211
771,0.3857020548976478,0.08566309445662754,0.0539824804698196,16,1.0,211
781,0.38346659014600104,0.08516720259860043,0.053641911057141764,16,1.0,212
791,0.38071128314446845,0.08451468870732848,0.053278560999158224,16,1.0,212
801,0.3781312291621108,0.08397350821030836,0.05292638829460004,16,1.0,212
811,0.3756723688872536,0.08342822478788166,0.05258330525863441,16,1.0,212
821,0.3733287845722482,0.08290363580360678,0.05225753073737495,16,1.0,213
831,0.3705591596303739,0.08227529052048367,0.05192758435935147,16,1.0,213
841,0.3681251602340368,0.08174050401102004,0.0516029251024954,16,1.0,213
851,0.366090176798514,0.08128028503965155,0.051290939698138124,16,1.0,213
861,0.36429267631432466,0.08092241829251465,0.050992884631291424,16,1.0,214
871,0.36230329247831083,0.08045435335625585,0.05069652275154406,16,1.0,214
881,0.3597031571097923,0.07988647078795931,0.05040171168927438,16,1.0,214
891,0.35759974435660974,0.0794411289817806,0.05011396111379421,16,1.0,214
901,0.35540318939495835,0.07894516938289214,0.049828887537919586,16,1.0,214
911,0.3536355432156362,0.07854468424667203,0.049559971263321165,16,1.0,215
921,0.35194980021444194,0.07817068575163724,0.04928642868183799,16,1.0,215
931,0.34993129473348794,0.07772681532074897,0.04900788460078638,16,1.0,215
941,0.34796629786715405,0.07729466959544845,0.048738750317163196,16,1.0,215
951,0.3460528305290411,0.07682028415731396,0.04847910227992501,16,1.0,215
961,0.3443417168960987,0.07649021648006374,0.048223374408039164,16,1.0,216
971,0.3427238232333879,0.07609402672786915,0.047972804805444795,16,1.0,216
981,0.34094840590447145,0.07572246482420587,0.047727434152517435,16,1.0,216
991,0.3390882891129216,0.07532421098122626,0.04747691699755134,16,1.0,216
1001,0.33738702155378103,0.07494306822161588,0.047229374734417094,16,1.0,216
1011,0.33579071355158946,0.07457488178571142,0.046986232557832644,16,1.0,217
1021,0.33414065067668464,0.0742088964765432,0.04674463865806282,16,1.0,217
1031,0.33242458170497796,0.0738619990525058,0.04652566768481264,16,1.0,217
1041,0.33100549172655364,0.07353013232199393,0.046302028340759235,16,1.0,217
1051,0.3293245044845743,0.07315045188720089,0.04607173790325563,16,1.0,217
1061,0.327742716767869,0.07280588777715091,0.04584907193441911,16,1.0,218
1071,0.3261988878403539,0.07243460097846784,0.04563120314334405,16,1.0,218
1081,0.32469180226737565,0.07212865467747931,0.045416161335413534,16,1.0,218
1091,0.32317856565848974,0.0717834845042186,0.0452062845186248,16,1.0,218
1101,0.32174212371387884,0.07144041287011695,0.04499165328872864,16,1.0,218
1111,0.32004189237797415,0.0710695189052106,0.044780542472193326,16,1.0,218
1121,0.3183828519972033,0.07071344023889892,0.044574685872491436,16,1.0,219
1131,0.31698585983429967,0.07041804588359679,0.04436768131713933,16,1.0,219
1141,0.3154402549471645,0.0700663503339731,0.04416400830728724,16,1.0,219
1151,0.3140578251871007,0.06973701851010955,0.04396715401521363,16,1.0,219
1161,0.3127067970767436,0.06944307205867935,0.04377692314193436,16,1.0,219
1171,0.3115100726780249,0.06918319582012071,0.043592199513282,16,1.0,220
1181,0.3100830483155634,0.06888293056328139,0.043400012696396234,16,1.0,220
1191,0.30888126356766116,0.06861884165371009,0.04321378140449496,16,1.0,220
1201,0.3074439857990712,0.06829975837343434,0.043027563762973106,16,1.0,220
1211,0.3061447706151012,0.0680035101334696,0.04284616798412552,16,1.0,220
1221,0.3050596945727089,0.06777300227772666,0.042668367459232304,16,1.0,220
1231,0.30383755183308375,0.0674838408689678,0.042489926852380525,16,1.0,220
1241,0.30237077027707826,0.06718097002882348,0.04230974463404443,16,1.0,221
1251,0.3013158517552378,0.06693429010295551,0.042145056088949556,16,1.0,221
1261,0.30025033174606675,0.06670023220759316,0.04197609412807139,16,1.0,221
1271,0.29894581335650205,0.06640097311640275,0.04180624292859199,16,1.0,221
1281,0.2977234038876273,0.06614165678974439,0.04163763199083824,16,1.0,221
1291,0.29648472855508284,0.06587606751336961,0.04147454033281285,16,1.0,221
1301,0.29535639130088875,0.06561379959290374,0.041310441999301714,16,1.0,222
1311,0.2943658174734493,0.06538928716015556,0.04115342419528391,16,1.0,222
1321,0.2933342976549862,0.06515350864320307,0.04099263275129056,16,1.0,222
1331,0.29208096113883364,0.06488215369238526,0.04083543759511325,16,1.0,222
1341,0.2909642191680502,0.06464094451960346,0.040678004632333245,16,1.0,222
1351,0.2898706608365071,0.06439155855009927,0.040518729062728374,16,1.0,222
1361,0.28889741395789087,0.0641603466620468,0.04036887771951876,16,1.0,222
1371,0.28788598412091476,0.0639488877386947,0.04021885973475151,16,1.0,223
1381,0.28686646071963273,0.06373747768286354,0.04006967037983509,16,1.0,223
1391,0.2858014511085516,0.06348414143099351,0.03992097334173695,16,1.0,223
1401,0.2848329020550111,0.06327334950748129,0.03978142411242043,16,1.0,223
1411,0.28380982472166877,0.06303599390901392,0.03963443651282648,16,1.0,223
1421,0.2826154803623827,0.06277506617082006,0.039491440006505174,16,1.0,223
1431,0.28165322281597055,0.0625535200139229,0.03934690878187889,16,1.0,223
1441,0.2806475910823325,0.06234233603694945,0.039210979675507886,16,1.0,224
1451,0.27972381322317,0.06214514403988253,0.0390724833659178,16,1.0,224
1461,0.27889702184035214,0.061947954571846084,0.038933512563672966,16,1.0,224
1471,0.27798248831905215,0.06175271642571592,0.03879704152062591,16,1.0,224
1481,0.27712019926218673,0.061557492746944095,0.03866933834860834,16,1.0,224
1491,0.2761728222798663,0.061347229351844466,0.038537109050559286,16,1.0,224
1501,0.2752187434839308,0.061148527394579426,0.03840672797563087,16,1.0,224
1511,0.27441627631985693,0.0609647602316298,0.03827772423352082,16,1.0,224
1521,0.27348105099532727,0.06074979983018566,0.03814898089103601,16,1.0,225
1531,0.2725720510807144,0.060557089644387094,0.038023578133436264,16,1.0,225
1541,0.27171279076144633,0.060350172103679545,0.03789843805932145,16,1.0,225
1551,0.2707183281875885,0.0601507706991037,0.03777262931564764,16,1.0,225
1561,0.2699483158676535,0.05997973568786006,0.03765087347617208,16,1.0,225
1571,0.26927918417700347,0.059825883286667714,0.03753152222766762,16,1.0,225
1581,0.2683123093348503,0.05961117863817306,0.03740479668730105,16,1.0,225
1591,0.26748668970401307,0.05942443017376123,0.03728401621059784,16,1.0,225
1601,0.26657017971543356,0.059212512806447966,0.03716086828647395,16,1.0,226
1611,0.2656409109071864,0.05901962910751494,0.03704373649616193,16,1.0,226
1621,0.2647366011657305,0.058813843630673525,0.03692591839733713,16,1.0,226
1631,0.2638713101840998,0.05861845853114743,0.036810652422786944,16,1.0,226
1641,0.2631533270307244,0.058457454276217395,0.036696372407562225,16,1.0,226
1651,0.2622752384328507,0.05827055701213274,0.036581854971765214,16,1.0,226
1661,0.2615278203579442,0.05809028460351994,0.03647307971834492,16,1.0,226
1671,0.2606949122145944,0.057922760678744356,0.03636088699424239,16,1.0,226
1681,0.2599895841558556,0.057759862278723074,0.036250576593586895,16,1.0,226
1691,0.25919276877319697,0.057582941715585825,0.03614187809404811,16,1.0,227
1701,0.25861052074632923,0.05745366190251315,0.03603667597417206,16,1.0,227
1711,0.25771062633600617,0.05725536925851562,0.0359275959247696,16,1.0,227
1721,0.25707092179983876,0.05711331878521541,0.0358209739449062,16,1.0,227
1731,0.25621450066982254,0.056926123620405465,0.03571404336963034,16,1.0,227
1741,0.25546661379837116,0.05675264193479256,0.035605775513552144,16,1.0,227
1751,0.2547057773342142,0.056589580824916295,0.035501185675610135,16,1.0,227
1761,0.25400421623629366,0.05643667903741334,0.0354017487011893,16,1.0,227
1771,0.2532892683978898,0.0562649475350922,0.03529799985558683,16,1.0,227
1781,0.2524652242100434,0.056080624226767885,0.03519640646237326,16,1.0,228
1791,0.2516685573245597,0.055908034667523074,0.035098267196432706,16,1.0,228
1801,0.2509802633230702,0.05576082117995948,0.034998779368710604,16,1.0,228
1811,0.2501359200513809,0.05557470314736816,0.034896823988011465,16,1.0,228
1821,0.24947916376952636,0.05542610766928537,0.03479901640879498,16,1.0,228
1831,0.24885227105806443,0.05528146935533216,0.03470424979022161,16,1.0,228
1841,0.24816350935216486,0.05513127050388993,0.034606004027451495,16,1.0,228
1851,0.2473604538845941,0.05495031003237451,0.034506730210984896,16,1.0,228
1861,0.24660713575961876,0.05479629747046302,0.034411671383215305,16,1.0,228
1871,0.24615030232120366,0.05467642053283843,0.03432298881329232,16,1.0,229
1881,0.24549639746392124,0.05453521094353712,0.034230954177988916,16,1.0,229
1891,0.24478975293144364,0.054373193509947806,0.03413742984951585,16,1.0,229
1901,0.2440548880849084,0.054220347451741056,0.034045235509225905,16,1.0,229
1911,0.2433782654741099,0.05407137659244517,0.033954999798808616,16,1.0,229
1921,0.24281510708049017,0.05394128843486056,0.0338612970520502,16,1.0,229
1931,0.24217727854904686,0.05379969353186158,0.03377081235414323,16,1.0,229
1941,0.2415391013756195,0.053653070657980875,0.033681032470316785,16,1.0,229
1951,0.24086747512216838,0.053507694026107305,0.03359355436401188,16,1.0,229
1961,0.24027841226835517,0.05338058456957832,0.03350882591547087,16,1.0,229
1971,0.23957420529111406,0.05323267568950391,0.0334205549525637,16,1.0,230
1981,0.23897880456359027,0.053092029365955855,0.033334999005603584,16,1.0,230
1991,0.2383505802534914,0.0529561043503259,0.03324916906282102,16,1.0,230
