episode,deltaT,maxRadius,avgRadius,numUnknownSlots,propUnknown,numSamples,totalNumSamples
1,36.0,1.4418572412914858,1.1822115885010975,24,1.0,106,106
11,6.8085187142009405,0.3541191485479936,0.3192705236905769,24,1.0,206,1881
21,4.584580789184562,0.24724692593347442,0.22279084570510435,24,1.0,236,4124
31,3.6476963246626224,0.19825356192396884,0.1794631423034401,24,1.0,255,6593
41,3.123653198978043,0.1709921668245858,0.1537421513693298,24,1.0,268,9215
51,2.753931796634591,0.15154863627257706,0.136327265050776,24,1.0,278,11950
61,2.4926529015870793,0.13713118510203984,0.12354815971189405,24,1.0,287,14781
71,2.2771582509423087,0.12540699905544073,0.11367642437775337,24,1.0,294,17689
81,2.117766816481854,0.11696251367796831,0.10575897508224763,24,1.0,300,20664
91,1.9882923597190258,0.10979394921185136,0.09924199216407564,24,1.0,306,23698
101,1.8762647003390258,0.10367144399992106,0.09375310742388669,24,1.0,311,26783
111,1.778942248440476,0.09825020820058901,0.08904943645370432,24,1.0,315,29916
121,1.692231244104133,0.09367000842480662,0.0849681102650141,24,1.0,319,33092
131,1.6215695024145604,0.0897111871346702,0.0813767860331784,24,1.0,323,36307
141,1.5585644581248022,0.08630117381018777,0.07818807178934284,24,1.0,327,39559
151,1.5029045411076896,0.08322121243783145,0.07533197466363956,24,1.0,330,42844
161,1.4507061020895249,0.08032513628333106,0.07275653624878049,24,1.0,333,46161
171,1.404682801617318,0.07782026928023303,0.07041742840658839,24,1.0,336,49508
181,1.3636273223419273,0.07553485236820727,0.0682852401941544,24,1.0,339,52883
191,1.320150954499855,0.07313782255156565,0.06633159513173435,24,1.0,341,56284
201,1.2851345856132423,0.07121738551286128,0.06452758223722121,24,1.0,344,59711
211,1.2530629261396409,0.0694492194788204,0.06285725633459514,24,1.0,346,63161
221,1.2208290258610774,0.06764969231550184,0.06130357970660697,24,1.0,348,66633
231,1.1916248037110235,0.06604885977822461,0.059857504694965515,24,1.0,350,70127
241,1.1649177940663324,0.06458181359039646,0.05850501521259121,24,1.0,352,73642
251,1.1399648308480257,0.06320442513216208,0.05723563235894364,24,1.0,354,77177
261,1.1172743984883695,0.06193512443809146,0.05604526160567433,24,1.0,356,80731
271,1.094789061910014,0.06070629633744346,0.054921811888996586,24,1.0,358,84303
281,1.0736330697572454,0.0595248703136474,0.0538602851779981,24,1.0,360,87893
291,1.0538442017853573,0.05843538860782674,0.05285703114885865,24,1.0,361,91499
301,1.0351539379898562,0.0574045431033182,0.05190515107558181,24,1.0,363,95123
311,1.0168709930348854,0.05640672312217195,0.05100060673061183,24,1.0,365,98762
321,1.0001468359995835,0.05546383286090378,0.050140227461143105,24,1.0,366,102417
331,0.9828765800349031,0.054514563731846176,0.04932099300389858,24,1.0,368,106086
341,0.9669484618033758,0.0536469459248528,0.04853921042308352,24,1.0,369,109770
351,0.9517408550138791,0.052795597237044606,0.0477918325989829,24,1.0,370,113467
361,0.9372763623827834,0.051992528678591124,0.047077275336556895,24,1.0,372,117179
371,0.9240623738503904,0.0512648508441574,0.04639245269284861,24,1.0,373,120904
381,0.9116418235261086,0.050568106990437664,0.04573612443512797,24,1.0,374,124641
391,0.8994599643129333,0.04989271473847708,0.045104669962851306,24,1.0,376,128391
401,0.8872413981846773,0.049203790262963634,0.04449886221949523,24,1.0,377,132154
411,0.8744638189465106,0.04851565492194835,0.043915775032079794,24,1.0,378,135929
421,0.8635430713476271,0.047922115529337526,0.04335421351762008,24,1.0,379,139715
431,0.8527958222710899,0.04732076081477116,0.04281279600379596,24,1.0,380,143512
441,0.8425381272584519,0.04675451056793573,0.04229062419689362,24,1.0,381,147320
451,0.8323004037032905,0.0461797139945464,0.04178638511290888,24,1.0,382,151139
461,0.8221878978286739,0.04562504005129845,0.04129874176700737,24,1.0,383,154969
