episode,deltaT,maxRadius,avgRadius,numUnknownSlots,coverage,numSamples
1,1.0,2.0,2.0,4,1.0,13
11,0.39619487600010356,0.7409311551151533,0.7205898893844139,4,1.0,30
21,0.26389344447136087,0.5113900192856567,0.5068344415222888,4,1.0,34
31,0.2133384376272487,0.4174050114176286,0.4115063007200411,4,1.0,36
41,0.18119112263291862,0.35583889753069803,0.3543956946189094,4,1.0,38
51,0.16379346702922726,0.3238983007994168,0.315824263932683,4,1.0,39
61,0.14882302861530222,0.2943825477034979,0.2872435694361474,4,1.0,40
71,0.13538909626106269,0.26915506132954814,0.2651029629867166,4,1.0,41
81,0.12656215096731055,0.2513261803378599,0.2473722523464936,4,1.0,42
91,0.11961295885923,0.23799247287969516,0.2327900741056168,4,1.0,42
101,0.11380564680830052,0.22667358500189574,0.22039519434992455,4,1.0,43
111,0.10824995902478288,0.2153025891955393,0.20983138196845263,4,1.0,43
121,0.10342888352405798,0.2056494110767674,0.2005254232322594,4,1.0,44
