episode,deltaT,maxRadius,avgRadius,numUnknownSlots,propUnknown,numSamples,totalNumSamples,modelErrL1,trueValueGap
1,25.0,2.0,1.9570597460268633,20,1.0,5,5,0.8,NaN
11,25.0,2.0,1.844593619367069,20,1.0,9,84,0.8,NaN
21,25.0,2.0,1.8313822166421871,20,1.0,10,182,0.8,NaN
31,25.0,2.0,1.8253325546331691,20,1.0,11,291,0.8,NaN
41,25.0,2.0,1.8218105450827413,20,1.0,12,404,0.8,NaN
51,25.0,2.0,1.8193624200003757,20,1.0,12,524,0.8,NaN
61,25.0,2.0,1.8176120945328837,20,1.0,12,644,0.8,NaN
71,25.0,2.0,1.816201668895064,20,1.0,13,772,0.8,NaN
81,25.0,2.0,1.8150798881748813,20,1.0,13,902,0.8,NaN
91,25.0,2.0,1.8141711557564761,20,1.0,13,1032,0.8,NaN
101,25.0,2.0,1.8134157027140787,20,1.0,13,1162,0.8,NaN
111,25.0,2.0,1.812742167482762,20,1.0,14,1299,0.8,NaN
121,25.0,2.0,1.8121543638471551,20,1.0,14,1439,0.8,NaN
131,25.0,2.0,1.8116433999622976,20,1.0,14,1579,0.8,NaN
141,25.0,2.0,1.8111956684850192,20,1.0,14,1719,0.8,NaN
151,25.0,2.0,1.8107974536766818,20,1.0,14,1859,0.8,NaN
161,25.0,2.0,1.8104402074012846,20,1.0,14,1999,0.8,NaN
171,25.0,2.0,1.8101185900458954,20,1.0,14,2139,0.8,NaN
181,25.0,2.0,1.8098080468412043,20,1.0,15,2288,0.8,NaN
191,25.0,2.0,1.8095239667323995,20,1.0,15,2438,0.8,NaN
201,25.0,2.0,1.8092632025969526,20,1.0,15,2588,0.8,NaN
211,25.0,2.0,1.8090239993434092,20,1.0,15,2738,0.8,NaN
221,25.0,2.0,1.8088035612585247,20,1.0,15,2888,0.8,NaN
231,25.0,2.0,1.8085989918688283,20,1.0,15,3038,0.8,NaN
241,25.0,2.0,1.808408297055482,20,1.0,15,3188,0.8,NaN
251,25.0,2.0,1.808230581490791,20,1.0,15,3338,0.8,NaN
261,25.0,2.0,1.8080640865016089,20,1.0,15,3488,0.8,NaN
271,25.0,2.0,1.8079078265210018,20,1.0,15,3638,0.8,NaN
281,25.0,2.0,1.8077607567285834,20,1.0,15,3788,0.8,NaN
291,25.0,2.0,1.8076165018812251,20,1.0,16,3944,0.8,NaN
301,25.0,2.0,1.8074768574779525,20,1.0,16,4104,0.8,NaN
311,25.0,2.0,1.8073448727615093,20,1.0,16,4264,0.8,NaN
321,25.0,2.0,1.8072200536843497,20,1.0,16,4424,0.8,NaN
331,25.0,2.0,1.8071018154208809,20,1.0,16,4584,0.8,NaN
341,25.0,2.0,1.806989405865424,20,1.0,16,4744,0.8,NaN
351,25.0,2.0,1.8068822121153967,20,1.0,16,4904,0.8,NaN
361,25.0,2.0,1.8067801687467457,20,1.0,16,5064,0.8,NaN
371,25.0,2.0,1.806682356950036,20,1.0,16,5224,0.8,NaN
381,25.0,2.0,1.8065890520031498,20,1.0,16,5384,0.8,NaN
391,25.0,2.0,1.8064997815558201,20,1.0,16,5544,0.8,NaN
401,25.0,2.0,1.8064142294066357,20,1.0,16,5704,0.8,NaN
411,25.0,2.0,1.8063319449334956,20,1.0,16,5864,0.8,NaN
421,25.0,2.0,1.8062531155380537,20,1.0,16,6024,0.8,NaN
431,25.0,2.0,1.806177171374293,20,1.0,16,6184,0.8,NaN
441,25.0,2.0,1.806104045936263,20,1.0,16,6344,0.8,NaN
451,25.0,2.0,1.8060335156167215,20,1.0,16,6504,0.8,NaN
461,25.0,2.0,1.8059655661618794,20,1.0,16,6664,0.8,NaN
471,25.0,2.0,1.8058996212966665,20,1.0,17,6825,0.8,NaN
481,25.0,2.0,1.8058323633188333,20,1.0,17,6995,0.8,NaN
491,25.0,2.0,1.8057674743990155,20,1.0,17,7165,0.8,NaN
501,25.0,2.0,1.805704751398347,20,1.0,17,7335,0.8,NaN
