episode,deltaT,maxRadius,avgRadius,numUnknownSlots,propUnknown,numSamples,totalNumSamples,modelErrL1,trueValueGap
1,9.0,2.0,1.9150410045202082,144,1.0,632,632,0.8999999999999999,NaN
11,9.0,2.0,1.8642964898996084,144,1.0,1235,11249,0.8999999999999999,NaN
21,9.0,2.0,1.8589321143253557,144,1.0,1415,24682,0.8999999999999999,NaN
31,9.0,2.0,1.8565682949256859,144,1.0,1525,39472,0.8999999999999999,NaN
41,9.0,2.0,1.8551787172049268,144,1.0,1605,55179,0.8999999999999999,NaN
51,9.0,2.0,1.8542428311439352,144,1.0,1667,71579,0.8999999999999999,NaN
61,9.0,2.0,1.8535604774920194,144,1.0,1718,88536,0.8999999999999999,NaN
71,9.0,2.0,1.8530356485693003,144,1.0,1761,105959,0.8999999999999999,NaN
81,9.0,2.0,1.8526164967126801,144,1.0,1799,123784,0.8999999999999999,NaN
91,9.0,2.0,1.8522722713045436,144,1.0,1832,141961,0.8999999999999999,NaN
101,9.0,2.0,1.8519831664339808,144,1.0,1862,160454,0.8999999999999999,NaN
111,9.0,2.0,1.8517361749735173,144,1.0,1889,179227,0.8999999999999999,NaN
121,9.0,2.0,1.8515220376937127,144,1.0,1914,198257,0.8999999999999999,NaN
131,9.0,2.0,1.8513342044481556,144,1.0,1937,217524,0.8999999999999999,NaN
141,9.0,2.0,1.851167737411397,144,1.0,1958,237010,0.8999999999999999,NaN
151,9.0,2.0,1.8510189129502688,144,1.0,1978,256700,0.8999999999999999,NaN
161,9.0,2.0,1.8508848988313096,144,1.0,1996,276578,0.8999999999999999,NaN
171,9.0,2.0,1.8507634060170983,144,1.0,2013,296635,0.8999999999999999,NaN
181,9.0,2.0,1.8506526379792936,144,1.0,2030,316859,0.8999999999999999,NaN
191,9.0,2.0,1.8505511033233395,144,1.0,2045,337241,0.8999999999999999,NaN
201,9.0,2.0,1.8504576139160267,144,1.0,2060,357774,0.8999999999999999,NaN
211,9.0,2.0,1.8503711813842436,144,1.0,2074,378449,0.8999999999999999,NaN
221,9.0,2.0,1.8502909727630197,144,1.0,2087,399259,0.8999999999999999,NaN
231,9.0,2.0,1.8502162759922183,144,1.0,2100,420199,0.8999999999999999,NaN
241,9.0,2.0,1.8501464954023328,144,1.0,2112,441264,0.8999999999999999,NaN
251,9.0,2.0,1.8500811312502152,144,1.0,2124,462447,0.8999999999999999,NaN
261,9.0,2.0,1.8500197288134794,144,1.0,2135,483746,0.8999999999999999,NaN
271,9.0,2.0,1.8499619235135865,144,1.0,2146,505154,0.8999999999999999,NaN
281,9.0,2.0,1.8499073704699194,144,1.0,2156,526669,0.8999999999999999,NaN
291,9.0,2.0,1.8498557932797144,144,1.0,2166,548284,0.8999999999999999,NaN
301,9.0,2.0,1.8498069195434033,144,1.0,2176,569999,0.8999999999999999,NaN
311,9.0,2.0,1.8497605338387753,144,1.0,2185,591809,0.8999999999999999,NaN
321,9.0,2.0,1.8497164290355492,144,1.0,2194,613712,0.8999999999999999,NaN
331,9.0,2.0,1.8496744306062736,144,1.0,2203,635704,0.8999999999999999,NaN
341,9.0,2.0,1.8496343777408901,144,1.0,2212,657783,0.8999999999999999,NaN
351,9.0,2.0,1.849596125526698,144,1.0,2220,679946,0.8999999999999999,NaN
361,9.0,2.0,1.849559545396747,144,1.0,2228,702190,0.8999999999999999,NaN
371,9.0,2.0,1.849524519996811,144,1.0,2236,724514,0.8999999999999999,NaN
381,9.0,2.0,1.849490944152485,144,1.0,2244,746916,0.8999999999999999,NaN
391,9.0,2.0,1.8494587232518218,144,1.0,2251,769393,0.8999999999999999,NaN
401,9.0,2.0,1.8494277677323911,144,1.0,2258,791944,0.8999999999999999,NaN
411,9.0,2.0,1.8493979989013927,144,1.0,2265,814566,0.8999999999999999,NaN
421,9.0,2.0,1.8493693445036656,144,1.0,2272,837258,0.8999999999999999,NaN
431,9.0,2.0,1.84934173573304,144,1.0,2279,860018,0.8999999999999999,NaN
441,9.0,2.0,1.8493151127423804,144,1.0,2286,882845,0.8999999999999999,NaN
451,9.0,2.0,1.8492894187607962,144,1.0,2292,905737,0.8999999999999999,NaN
461,9.0,2.0,1.849264600400608,144,1.0,2298,928693,0.8999999999999999,NaN
471,9.0,2.0,1.8492406112452195,144,1.0,2305,951712,0.8999999999999999,NaN
481,9.0,2.0,1.8492174065288465,144,1.0,2311,974791,0.8999999999999999,NaN
491,9.0,2.0,1.8491949440880022,144,1.0,2317,997930,0.8999999999999999,NaN
501,9.0,2.0,1.7179918545289352,143,0.9930555555555556,2306,1021079,0.8999999999999999,NaN
511,9.0,2.0,1.7070793213764204,143,0.9930555555555556,2312,1044173,0.8999999999999999,NaN
521,9.0,2.0,1.704514251819311,143,0.9930555555555556,2317,1067322,0.8999999999999999,NaN
531,9.0,2.0,1.703217835007299,143,0.9930555555555556,2323,1090527,0.8999999999999999,NaN
541,9.0,2.0,1.7023998725188656,143,0.9930555555555556,2328,1113785,0.8999999999999999,NaN
551,9.0,2.0,1.7018226715297244,143,0.9930555555555556,2333,1137095,0.8999999999999999,NaN
561,9.0,2.0,1.7013871111778704,143,0.9930555555555556,2339,1160458,0.8999999999999999,NaN
571,9.0,2.0,1.7010433128559868,143,0.9930555555555556,2344,1183873,0.8999999999999999,NaN
581,9.0,2.0,1.7007626888306147,143,0.9930555555555556,2349,1207338,0.8999999999999999,NaN
591,9.0,2.0,1.700528011578726,143,0.9930555555555556,2353,1230851,0.8999999999999999,NaN
601,9.0,2.0,1.7003278804808597,143,0.9930555555555556,2358,1254411,0.8999999999999999,NaN
611,9.0,2.0,1.7001544538126727,143,0.9930555555555556,2363,1278020,0.8999999999999999,NaN
621,9.0,2.0,1.7000023935615165,143,0.9930555555555556,2368,1301675,0.8999999999999999,NaN
631,9.0,2.0,1.6998675749155538,143,0.9930555555555556,2372,1325376,0.8999999999999999,NaN
641,9.0,2.0,1.699746877599788,143,0.9930555555555556,2377,1349123,0.8999999999999999,NaN
651,9.0,2.0,1.6996380630037193,143,0.9930555555555556,2381,1372914,0.8999999999999999,NaN
661,9.0,2.0,1.6995392905420585,143,0.9930555555555556,2385,1396749,0.8999999999999999,NaN
671,9.0,2.0,1.6994490298659362,143,0.9930555555555556,2390,1420627,0.8999999999999999,NaN
681,9.0,2.0,1.6993661720667528,143,0.9930555555555556,2394,1444548,0.8999999999999999,NaN
691,9.0,2.0,1.6992897536269063,143,0.9930555555555556,2398,1468510,0.8999999999999999,NaN
701,9.0,2.0,1.6992189468895111,143,0.9930555555555556,2402,1492514,0.8999999999999999,NaN
711,9.0,2.0,1.6991530960151904,143,0.9930555555555556,2406,1516558,0.8999999999999999,NaN
721,9.0,2.0,1.699091663293955,143,0.9930555555555556,2410,1540642,0.8999999999999999,NaN
731,9.0,2.0,1.6990341723413522,143,0.9930555555555556,2414,1564766,0.8999999999999999,NaN
741,9.0,2.0,1.6989802197717296,143,0.9930555555555556,2418,1588930,0.8999999999999999,NaN
751,9.0,2.0,1.6989294638454835,143,0.9930555555555556,2422,1613132,0.8999999999999999,NaN
761,9.0,2.0,1.6988815493828993,143,0.9930555555555556,2426,1637372,0.8999999999999999,NaN
771,9.0,2.0,1.6988362744818573,143,0.9930555555555556,2429,1661649,0.8999999999999999,NaN
781,9.0,2.0,1.6987933673211146,143,0.9930555555555556,2433,1685964,0.8999999999999999,NaN
791,9.0,2.0,1.6987526354412759,143,0.9930555555555556,2437,1710315,0.8999999999999999,NaN
801,9.0,2.0,1.6987139139775536,143,0.9930555555555556,2440,1734702,0.8999999999999999,NaN
811,9.0,2.0,1.6986770366368544,143,0.9930555555555556,2444,1759125,0.8999999999999999,NaN
821,9.0,2.0,1.6986418477686074,143,0.9930555555555556,2447,1783583,0.8999999999999999,NaN
831,9.0,2.0,1.6986082377860114,143,0.9930555555555556,2451,1808076,0.8999999999999999,NaN
841,9.0,2.0,1.6985760923949274,143,0.9930555555555556,2454,1832604,0.8999999999999999,NaN
851,9.0,2.0,1.6985452980966043,143,0.9930555555555556,2458,1857166,0.8999999999999999,NaN
861,9.0,2.0,1.6985157457309024,143,0.9930555555555556,2461,1881761,0.8999999999999999,NaN
871,9.0,2.0,1.6984873967957088,143,0.9930555555555556,2464,1906389,0.8999999999999999,NaN
881,9.0,2.0,1.6984601404881159,143,0.9930555555555556,2468,1931051,0.8999999999999999,NaN
891,9.0,2.0,1.6984339250608127,143,0.9930555555555556,2471,1955744,0.8999999999999999,NaN
901,9.0,2.0,1.6984086706026733,143,0.9930555555555556,2474,1980469,0.8999999999999999,NaN
911,9.0,2.0,1.6983843069507643,143,0.9930555555555556,2477,2005226,0.8999999999999999,NaN
921,9.0,2.0,1.5826191947343602,142,0.9861111111111112,2463,2029997,0.8999999999999999,NaN
931,9.0,2.0,1.5573402169242174,142,0.9861111111111112,2466,2054643,0.8999999999999999,NaN
941,9.0,2.0,1.554201296372263,142,0.9861111111111112,2469,2079319,0.8999999999999999,NaN
951,9.0,2.0,1.5527257491445698,142,0.9861111111111112,2472,2104026,0.8999999999999999,NaN
961,9.0,2.0,1.551826305718329,142,0.9861111111111112,2475,2128762,0.8999999999999999,NaN
971,9.0,2.0,1.551202950021948,142,0.9861111111111112,2478,2153528,0.8999999999999999,NaN
981,9.0,2.0,1.5507370402925094,142,0.9861111111111112,2481,2178323,0.8999999999999999,NaN
991,9.0,2.0,1.5503734867767147,142,0.9861111111111112,2484,2203147,0.8999999999999999,NaN
1001,9.0,2.0,1.5500774654331275,142,0.9861111111111112,2487,2228000,0.8999999999999999,NaN
1011,9.0,2.0,1.5498314528057584,142,0.9861111111111112,2489,2252881,0.8999999999999999,NaN
1021,9.0,2.0,1.549623007276119,142,0.9861111111111112,2492,2277790,0.8999999999999999,NaN
1031,9.0,2.0,1.5494424158981106,142,0.9861111111111112,2495,2302727,0.8999999999999999,NaN
1041,9.0,2.0,1.549284539007818,142,0.9861111111111112,2498,2327691,0.8999999999999999,NaN
