episode,deltaT,maxRadius,avgRadius,numUnknownSlots,propUnknown,numSamples,totalNumSamples,modelErrL1,trueValueGap
1,9.0,2.0,1.9151488293371939,144,1.0,632,632,0.8999999999999999,NaN
11,9.0,2.0,1.864294303650866,144,1.0,1235,11249,0.8999999999999999,NaN
21,9.0,2.0,1.8589317139583512,144,1.0,1415,24682,0.8999999999999999,NaN
31,9.0,2.0,1.8565678164884203,144,1.0,1525,39472,0.8999999999999999,NaN
41,9.0,2.0,1.8551782471251552,144,1.0,1605,55179,0.8999999999999999,NaN
51,9.0,2.0,1.8542426737683912,144,1.0,1667,71579,0.8999999999999999,NaN
61,9.0,2.0,1.8535602849973118,144,1.0,1718,88536,0.8999999999999999,NaN
71,9.0,2.0,1.853035498599934,144,1.0,1761,105959,0.8999999999999999,NaN
81,9.0,2.0,1.8526164540367804,144,1.0,1799,123784,0.8999999999999999,NaN
91,9.0,2.0,1.8522721883295132,144,1.0,1832,141961,0.8999999999999999,NaN
101,9.0,2.0,1.8519831021743052,144,1.0,1862,160454,0.8999999999999999,NaN
111,9.0,2.0,1.8517360990178082,144,1.0,1889,179227,0.8999999999999999,NaN
121,9.0,2.0,1.8515219919680836,144,1.0,1914,198257,0.8999999999999999,NaN
131,9.0,2.0,1.8513341688833362,144,1.0,1937,217524,0.8999999999999999,NaN
141,9.0,2.0,1.8511677120117516,144,1.0,1958,237010,0.8999999999999999,NaN
151,9.0,2.0,1.8510189043629621,144,1.0,1978,256700,0.8999999999999999,NaN
161,9.0,2.0,1.8508848914922704,144,1.0,1996,276578,0.8999999999999999,NaN
171,9.0,2.0,1.850763405571925,144,1.0,2013,296635,0.8999999999999999,NaN
181,9.0,2.0,1.850652620422023,144,1.0,2030,316859,0.8999999999999999,NaN
191,9.0,2.0,1.8505510944330763,144,1.0,2045,337241,0.8999999999999999,NaN
201,9.0,2.0,1.8504576087421425,144,1.0,2060,357774,0.8999999999999999,NaN
211,9.0,2.0,1.850371177141194,144,1.0,2074,378449,0.8999999999999999,NaN
221,9.0,2.0,1.850290965611167,144,1.0,2087,399259,0.8999999999999999,NaN
