episode,deltaT,maxRadius,avgRadius,numUnknownSlots,propUnknown,numSamples,totalNumSamples,modelErrL1,trueValueGap
1,9.0,2.0,1.9151902731070314,144,1.0,632,632,0.8999999999999999,NaN
11,9.0,2.0,1.8642941782648788,144,1.0,1235,11249,0.8999999999999999,NaN
21,9.0,2.0,1.8589317694428331,144,1.0,1415,24682,0.8999999999999999,NaN
31,9.0,2.0,1.8565679743001344,144,1.0,1525,39472,0.8999999999999999,NaN
41,9.0,2.0,1.8551784359016235,144,1.0,1605,55179,0.8999999999999999,NaN
51,9.0,2.0,1.854242730350589,144,1.0,1667,71579,0.8999999999999999,NaN
61,9.0,2.0,1.853560337589435,144,1.0,1718,88536,0.8999999999999999,NaN
71,9.0,2.0,1.8530355463497743,144,1.0,1761,105959,0.8999999999999999,NaN
81,9.0,2.0,1.8526164251885662,144,1.0,1799,123784,0.8999999999999999,NaN
91,9.0,2.0,1.8522721677385516,144,1.0,1832,141961,0.8999999999999999,NaN
101,9.0,2.0,1.8519830800918813,144,1.0,1862,160454,0.8999999999999999,NaN
111,9.0,2.0,1.8517360818981434,144,1.0,1889,179227,0.8999999999999999,NaN
121,9.0,2.0,1.8515219823468927,144,1.0,1914,198257,0.8999999999999999,NaN
131,9.0,2.0,1.8513341480607055,144,1.0,1937,217524,0.8999999999999999,NaN
141,9.0,2.0,1.8511676894587543,144,1.0,1958,237010,0.8999999999999999,NaN
151,9.0,2.0,1.8510188825693834,144,1.0,1978,256700,0.8999999999999999,NaN
161,9.0,2.0,1.8508848746310835,144,1.0,1996,276578,0.8999999999999999,NaN
171,9.0,2.0,1.8507633856442653,144,1.0,2013,296635,0.8999999999999999,NaN
181,9.0,2.0,1.850652609540975,144,1.0,2030,316859,0.8999999999999999,NaN
191,9.0,2.0,1.850551085002562,144,1.0,2045,337241,0.8999999999999999,NaN
201,9.0,2.0,1.8504575981709006,144,1.0,2060,357774,0.8999999999999999,NaN
211,9.0,2.0,1.850371167063974,144,1.0,2074,378449,0.8999999999999999,NaN
221,9.0,2.0,1.850290955714245,144,1.0,2087,399259,0.8999999999999999,NaN
231,9.0,2.0,1.85021625839838,144,1.0,2100,420199,0.8999999999999999,NaN
241,9.0,2.0,1.850146481116037,144,1.0,2112,441264,0.8999999999999999,NaN
